ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE RECORDED,GRADE
f9237b5c886c340dea0c2830e27a8c01,0 CATHERINE RD MILTON MA,0 CATHERINE RD,MILTON,,9/13/10,3
7f1abfd540d2dbb5f42a44833d51c163,0 GATES RD PEABODY MA,0 GATES RD,PEABODY,,1/18/08,3
8a6a193a874994127398831afdb56088,0 LAKE AVE GLOUCESTER MA,0 LAKE AVE,GLOUCESTER,,3/5/09,3
92f8550a89df55c5452a511c05de3641,0 OCEAN AVE MARBLEHEAD MA,0 OCEAN AVE,MARBLEHEAD,,10/21/16,Not Discovered Yet
0ddc5810f00675e4b2e46ba2b18cbbc5,0 VINNIN ST SALEM MA,0 VINNIN ST,SALEM,,10/16/15,3
39d3dda364d0a2178c024a01ff1ce559,1 ACCORD LN HINGHAM MA,1 ACCORD LN,HINGHAM,,7/31/06,3
882c708e3a253548f13e57fd14dd5997,1 ALBERT DR WOBURN MA,1 ALBERT DR,WOBURN,,3/20/16,Not Discovered Yet
b4dc91ae2a3bab7b22346667ef5566bb,1 ASHWOOD RD ACTON MA,1 ASHWOOD RD,ACTON,,7/12/12,3
2118ede6616d05c8cf42bbdf0efce77e,1 BALLOU AV DORCHESTER MA,1 BALLOU AV,DORCHESTER,,2/27/04,3
c280a3fbcdc0ee2954d69572bb4c899c,1 BARNES RD HINGHAM MA,1 BARNES RD,HINGHAM,,3/27/12,3
dcdf6fc1eb52a5e1141ccd5850dd6a03,1 BARNES RD HINGHAM MA,1 BARNES RD,HINGHAM,,6/29/16,Not Discovered Yet
0009cea6762c6d33697bb58d957c0f8d,1 BASKIN RD LEXINGTON MA,1 BASKIN RD,LEXINGTON,,4/25/13,3
44e91ee254c04e62ccf01567d91cba7f,1 BAY STATE RD LYNNFIELD MA,1 BAY STATE RD,LYNNFIELD,,8/14/14,3
2fd7e24f1f18d1e2dcd7a4c9c9c83378,1 BEAVER PIKE DANVERS MA,1 BEAVER PIKE,DANVERS,,8/12/10,3
1b96c440b86f0800a728c033aa37c35e,1 BEAVERBROOK RD BURLINGTON MA,1 BEAVERBROOK RD,BURLINGTON,,6/18/12,3
af897c7c9049e997e9379a2f604de56d,1 BEDFORD RD LINCOLN MA,1 BEDFORD RD,LINCOLN,,11/11/12,3
f8d813527e7641f5c6c1522ac4eab857,1 BENNETT RD WAYLAND MA,1 BENNETT RD,WAYLAND,,11/1/16,Not Discovered Yet
65cc4e827b05c428e72a1d4a5a670539,1 BROAD ST LYNN MA,1 BROAD ST,LYNN,,3/29/13,3
982b13c5d8a7db2a4ffb6e602383ae85,1 BROWN RD SWAMPSCOTT MA,1 BROWN RD,SWAMPSCOTT,,5/21/14,3
f08701ca5c5041d92cb25b144d3402bc,1 BUCHANAN RD ROSLINDALE MA,1 BUCHANAN RD,ROSLINDALE,,8/20/13,3
85074b69a7c3c2971e8f7c2cb5fa1a37,1 CALDWELL ST WEYMOUTH MA,1 CALDWELL ST,WEYMOUTH,,7/23/07,3
bc7c6851f3e46b79d58a2c107f6730dd,1 CALLENDER ST DORCHESTER MA,1 CALLENDER ST,DORCHESTER,,3/20/15,3
3ad41eaebb292942825876a2b1700434,1 CAREY AVE BURLINGTON MA,1 CAREY AVE,BURLINGTON,,6/24/15,3
759504ee4c96e987f6aa5266808d1e03,1 CAROLINE ST BURLINGTON MA,1 CAROLINE ST,BURLINGTON,,9/8/03,3
5cc3f6b148290d7dcf73fa49c81d0f89,1 CENTER ST BURLINGTON MA,1 CENTER ST,BURLINGTON,,9/23/14,3
cd28d9d23c5654c19b0e8ad6a0a2a8d5,1 CENTRAL ST NAHANT MA,1 CENTRAL ST,NAHANT,,12/10/15,3
0d71ead4bde72aa86bb7c2d804148ba2,1 CENTURY ST SOMERVILLE MA,1 CENTURY ST,SOMERVILLE,,8/8/14,3
f8c0925015bed033f461c025d69f15fe,1 CHARLES ST STONEHAM MA,1 CHARLES ST,STONEHAM,,9/28/05,3
636f02a161d28df06b1d43aa9a755d78,1 CHESTER BROOK RD WALTHAM MA,1 CHESTER BROOK RD,WALTHAM,,6/5/04,3
64137a47d59d7bd7803d7abea3991175,1 CHESTNUT ST ARLINGTON MA,1 CHESTNUT ST,ARLINGTON,,3/24/12,3
b3cdae44868aad2f3d5931cd58f9d735,1 CHICOPEE ROW GROTON MA,1 CHICOPEE ROW,GROTON,,8/19/15,3
52bab79402a9d872c24df69f98273985,1 CLARNER RD LYNN MA,1 CLARNER RD,LYNN,,3/8/16,Not Discovered Yet
b1753b646d214d31ed48cec5744a18da,1 COLBY RD PEABODY MA,1 COLBY RD,PEABODY,,2/19/16,Not Discovered Yet
e5a20e9e1be2acbe92b348d2dfb9d0a3,1 COLUMBIA ST AYER MA,1 COLUMBIA ST,AYER,,8/6/14,3
f7050449d139eccd9ea7b9d8d1105e04,1 COOKE RD LEXINGTON MA,1 COOKE RD,LEXINGTON,,10/2/12,3
a6b4fcaa70e647a9d2b23988278d84bf,1 COUGHLIN ST ACTON MA,1 COUGHLIN ST,ACTON,,8/18/03,3
e5a451d5c1bbe242a56ba17ef7560630,1 DANA RD BEDFORD MA,1 DANA RD,BEDFORD,,9/1/15,Missed 2
fbee9b80da8a50501177bc2a9f70c594,1 DEAN RD MILTON MA,1 DEAN RD,MILTON,,10/3/11,3
f3e14172ec5af5dc62fc2a94c8dd70f2,1 E BERKELEY ST BOSTON MA,1 E BERKELEY ST,BOSTON,,3/24/05,3
b32f20c3ec21b8a73cfb5f1348a1f956,1 EDGEHILL RD BROOKLINE MA,1 EDGEHILL RD,BROOKLINE,,2/12/05,3
e38c858148ba605291558b022d194a46,1 EDWIN ST QUINCY MA,1 EDWIN ST,QUINCY,,5/18/15,3
568f05a6e0f410c793caf80e2b91b364,1 ELM ST STONEHAM MA,1 ELM ST,STONEHAM,,8/27/14,3
d9c77313e81b861b3089d251c60d91e9,1 ESSEX ST MEDFORD MA,1 ESSEX ST,MEDFORD,,7/10/13,3
01448653e0248df0f9d7d2d6bc81399a,1 FERNALD AVE HAVERHILL MA,1 FERNALD AVE,HAVERHILL,,11/3/16,Not Discovered Yet
44b0155a41e2ba8f1de4eb09b1469b9d,1 FOREST RD ACTON MA,1 FOREST RD,ACTON,,3/6/09,3
873ad25cb1183fe11e16db18fc17e8ec,1 FOREST ST WELLESLEY MA,1 FOREST ST,WELLESLEY,,10/28/16,Not Discovered Yet
1364d282c4d7480b48564c1429ae615c,1 GALEN ST WATERTOWN MA,1 GALEN ST,WATERTOWN,,6/12/13,3
e01ac7b94a3d2fa43790f5d44cd3f3b8,1 GEDICK RD BURLINGTON MA,1 GEDICK RD,BURLINGTON,,7/12/16,Not Discovered Yet
871d02fe83a53a84e342ba439d5bf990,1 GIDLEY ST BURLINGTON MA,1 GIDLEY ST,BURLINGTON,,11/27/15,3
e83ea68a8edc0db2c6874fe99d9c9cc6,1 GINTY BLVD HAVERHILL MA,1 GINTY BLVD,HAVERHILL,,8/8/07,3
34114c10f1b10d620d9dedaf0aae9ef1,1 GORDON ST MALDEN MA,1 GORDON ST,MALDEN,,7/27/15,3
e332093128b6fda92359a574091ffeb6,1 GREEN LN WESTON MA,1 GREEN LN,WESTON,,5/16/13,3
f0fe57d29723b29d6a506bd0e935eea2,1 GREENWOOD AVE BEVERLY MA,1 GREENWOOD AVE,BEVERLY,,6/30/12,3
d5475cd5442c7082e514a7b619061357,1 GRIST MILL RD ACTON MA,1 GRIST MILL RD,ACTON,,2/7/14,3
3d3e418dc0fb4451047cd3681d9f0a0f,1 GRIST MILL RD LITTLETON MA,1 GRIST MILL RD,LITTLETON,,12/3/04,3
5f97de5f0eae5512f03fdffd40af84eb,1 GUEST ST BRIGHTON MA,1 GUEST ST,BRIGHTON,,3/23/11,3
f1fb9a3dc9c29587bb47c5202ba96ad1,1 HAMMOND ST BROOKLINE MA,1 HAMMOND ST,BROOKLINE,,8/24/04,3
08f4e3e235d91fc0b89bfbba5a022214,1 HARVARD ST PEABODY MA,1 HARVARD ST,PEABODY,,8/5/15,3
e3560f19883982a02f48d9c92f5c9404,1 HEWES CIR PEABODY MA,1 HEWES CIR,PEABODY,,8/12/03,3
ddf55ef87ccff133803333d825c7e2b2,1 HOLBROOK RD QUINCY MA,1 HOLBROOK RD,QUINCY,,6/12/14,3
096e40b57a617f0959e6a39687e6f50a,1 HUMPHREYS ST DORCHESTER MA,1 HUMPHREYS ST,DORCHESTER,,6/13/13,3
28e6b6615ed12458f2ca06c4026efafb,1 KERNWOOD ST MALDEN MA,1 KERNWOOD ST,MALDEN,,8/5/15,3
d47d40ccb37aa024c35a5dc8b8bb6d0f,1 KERWIN ST DORCHESTER MA,1 KERWIN ST,DORCHESTER,,5/21/07,3
b3590ab8f29d71e8820d5b1fd92a3880,1 LAWN AVE QUINCY MA,1 LAWN AVE,QUINCY,,8/6/09,3
f0177fccae4b92b2f4c0c1468c282bcc,1 LIDO AVE BURLINGTON MA,1 LIDO AVE,BURLINGTON,,2/15/08,3
584991a2553132e4dd205370338b173e,1 LINCOLN CIR SWAMPSCOTT MA,1 LINCOLN CIR,SWAMPSCOTT,,7/1/13,3
5518e6dc0b8aed0b6d641bb7a0a0d086,1 LORRAINE RD MEDFORD MA,1 LORRAINE RD,MEDFORD,,3/24/15,3
77a4dfc7ff4eb422f14750ad29b50a14,1 LYNCH ST PEABODY MA,1 LYNCH ST,PEABODY,,8/14/15,3
da57f9ee38e34400cef9d53dd79b3a56,1 MAIN ST LEOMINSTER MA,1 MAIN ST,LEOMINSTER,,8/1/16,Not Discovered Yet
9df8ef51351ce81ba2b99c78b8875d41,1 MANSION RD MARBLEHEAD MA,1 MANSION RD,MARBLEHEAD,,6/29/04,3
68a2de764c63dc8a2637a276db3bbfe9,1 MARK ST MANCHESTER MA,1 MARK ST,MANCHESTER,,4/4/15,3
f02e718f505ffda80efdade3b1da97e1,1 MONATIQUOT AV BRAINTREE MA,1 MONATIQUOT AV,BRAINTREE,,9/17/02,3
b740823b8de928c7d3fba31eb47517b6,1 MONUMENT SQ BEVERLY MA,1 MONUMENT SQ,BEVERLY,,4/22/16,Not Discovered Yet
e213c098914f3cada42d06a811ba81f0,1 MUNROE ST LYNN MA,1 MUNROE ST,LYNN,,9/11/02,3
2883854bd50bbac48a32c6fd5f170010,1 N SHORE AVE PEABODY MA,1 N SHORE AVE,PEABODY,,7/21/15,3
d7f8206c39ee53ef550d3f3bbdb47285,1 NATSUE WAY MIDDLETON MA,1 NATSUE WAY,MIDDLETON,,6/24/09,3
0ee7b6bc22519207e9f41c1474572042,1 NEWBURY ST PEABODY MA,1 NEWBURY ST,PEABODY,,6/19/15,3
f9d9903b2f530b3bcfe7bd9e346802d6,1 NEWBURY ST PEABODY MA,1 NEWBURY ST,PEABODY,,10/14/15,3
3008868f469e42ffc9237d58f8e9c219,1 NEWHALL PL PEABODY MA,1 NEWHALL PL,PEABODY,,8/22/07,3
4f86906ef33af6c94210aac29b5c7563,1 NEWTON ST WINCHESTER MA,1 NEWTON ST,WINCHESTER,,5/28/13,3
059a82769799b5d50b858682f79f029d,1 NONANTUM ST NEWTON MA,1 NONANTUM ST,NEWTON,,5/10/16,Not Discovered Yet
cc18991adcec6e59bc9141ffb4a83749,1 NORWICH RD PEABODY MA,1 NORWICH RD,PEABODY,,11/24/16,Not Discovered Yet
d8fcf0bc538f43c8fbc98bf44634c82e,1 OAK ST WATERTOWN MA,1 OAK ST,WATERTOWN,,4/17/15,3
c395d0915ed81dd341d7f7fae14e8f84,1 OAKWOOD RD ACTON MA,1 OAKWOOD RD,ACTON,,7/12/12,3
f149863bee68e109d4aee9d6b567ca2e,1 PARK AVE BRAINTREE MA,1 PARK AVE,BRAINTREE,,6/19/08,3
d90d28d8fdfdebdf2f2fcb9492b0f47a,1 PEARL ST BROOKLINE MA,1 PEARL ST,BROOKLINE,,5/9/14,3
4b032e2cc1b815eb260fb26fe1741bfb,1 PEARTREE DR LEXINGTON MA,1 PEARTREE DR,LEXINGTON,,1/26/12,3
a7956dca876514234cd463c1da610423,1 PILGRIM RD BEVERLY MA,1 PILGRIM RD,BEVERLY,,5/12/16,Not Discovered Yet
26ba88fe7354085d0506a35a78602d6d,1 POPLAR ST GLOUCESTER MA,1 POPLAR ST,GLOUCESTER,,10/17/16,Not Discovered Yet
f90623a73dd0ed1992ec798b278ff1ab,1 PRESCOTT ST CHARLESTOWN MA,1 PRESCOTT ST,CHARLESTOWN,,10/9/15,3
36c888d0f42f3960f63cc08c49853445,1 QUINOBEQUIN RD NEWTON MA,1 QUINOBEQUIN RD,NEWTON,,12/15/11,3
db0b922827782505a9ab9b5ea26f84cd,1 SCHOOL ST ARLINGTON MA,1 SCHOOL ST,ARLINGTON,,12/2/15,3
a49a33772e12aba185fe3684b8fecd83,1 SPARHAWK DR LYNNFIELD MA,1 SPARHAWK DR,LYNNFIELD,,4/11/11,3
7eeb3b1e74085dbd29f50ae907151e07,1 STONE ROW LN GEORGETOWN MA,1 STONE ROW LN,GEORGETOWN,,12/15/14,3
d542be8af42abb7af6981c55a5e0740d,1 THOMAS BURGIN PKY QUINCY MA,1 THOMAS BURGIN PKY,QUINCY,,6/1/16,Not Discovered Yet
14260b1ac597627418ec4d33eacab527,1 THOMAS RD BEVERLY MA,1 THOMAS RD,BEVERLY,,4/20/16,Not Discovered Yet
1922bf5452acacf3083cae3a32279cda,1 THOMAS RD BEVERLY MA,1 THOMAS RD,BEVERLY,,6/1/16,Not Discovered Yet
19c24d4d9da480e2bd40623c272cde71,1 TRAPELO RD BELMONT MA,1 TRAPELO RD,BELMONT,,12/27/16,Not Discovered Yet
63d5977189f834bade24a1bf86f8cb30,1 VALLEY VIEW RD WAYLAND MA,1 VALLEY VIEW RD,WAYLAND,,9/16/14,3
cbfb95ba7a9716e2c0338dc5e3a18644,1 VERMONT AVE SAUGUS MA,1 VERMONT AVE,SAUGUS,,8/29/16,Not Discovered Yet
d79363ffb3c97d7a739ab03e816bb3f3,1 VIDETTA ST PEABODY MA,1 VIDETTA ST,PEABODY,,8/18/15,3
dc8b4ddac6661ffaaedec055b4d8ce19,1 VIRGINIA ST SOMERVILLE MA,1 VIRGINIA ST,SOMERVILLE,,11/16/15,Missed 2
2622dd099832dab0864b858d3ead4fed,1 VISTA CIR ARLINGTON MA,1 VISTA CIR,ARLINGTON,,10/2/15,3
47313e946263deae14f9bc36b81aeb31,1 W SHORE DR MARBLEHEAD MA,1 W SHORE DR,MARBLEHEAD,,5/18/04,3
80818acc4fd03b4d43f22f6ea3c038a4,1 WALLINGFORD RD MARBLEHEAD MA,1 WALLINGFORD RD,MARBLEHEAD,,4/3/07,3
552d33fb723620917a230a6425785e56,1 WARE LN MARBLEHEAD MA,1 WARE LN,MARBLEHEAD,,4/8/98,3
5fa6a2e829930b1d37c6591e43a67fcc,1 WASHINGTON ST WELLESLEY MA,1 WASHINGTON ST,WELLESLEY,,5/4/06,3
11756a162b66b18d88942d651a5e91be,1 WESTOVER DR LYNNFIELD MA,1 WESTOVER DR,LYNNFIELD,,7/31/14,3
6bd72c59cdd9d1772ff2a9c7aca6dc53,1 WOODSTOCK AVE BRIGHTON MA,1 WOODSTOCK AVE,BRIGHTON,,4/11/13,3
8414c8abb49cec03af97022d01dd4f16,1 WYNOT RD BRAINTREE MA,1 WYNOT RD,BRAINTREE,,9/16/15,3
a746e4908ba559b205dacf05ff82994d,10 ARTWILL ST MILTON MA,10 ARTWILL ST,MILTON,,7/30/15,3
45d820cf03c82a67e5246a8676690c98,10 ATLANTIC AV WOBURN MA,10 ATLANTIC AV,WOBURN,,8/10/05,3
e48eee0d28473b83aaefbc371c038fe2,10 BARTLETT HILL RD CONCORD MA,10 BARTLETT HILL RD,CONCORD,,3/11/16,Not Discovered Yet
307e7dacd80765ce9c94acfe9e4bfc56,10 BAY STATE RD MELROSE MA,10 BAY STATE RD,MELROSE,,4/19/16,Not Discovered Yet
516d18026abdfd091861d1175702629e,10 BAYFIELD RD QUINCY MA,10 BAYFIELD RD,QUINCY,,7/10/12,Missed 2
11c8aeee4e7ad0312de4d51c8d23feb0,10 BEAVER POND RD LINCOLN MA,10 BEAVER POND RD,LINCOLN,,8/15/07,3
47040641afb519549f29991006f09af7,10 BLODGETT AVE SWAMPSCOTT MA,10 BLODGETT AVE,SWAMPSCOTT,,7/1/13,3
7bc3bcd617108b35c3642af18ee4d939,10 BOARDMAN LN HAMILTON MA,10 BOARDMAN LN,HAMILTON,,6/6/14,3
3e1a7f3112fbc252ce97f5d0244a8eb8,10 BODWELL ST DORCHESTER MA,10 BODWELL ST,DORCHESTER,,5/5/04,3
3d512eb432fea34f804388f92ef685ec,10 BOLTON RD NEWTON MA,10 BOLTON RD,NEWTON,,7/15/15,3
1de36deb45c684a239fe29b392502907,10 BOXFORD TER WEST ROXBURY MA,10 BOXFORD TER,WEST ROXBURY,,9/14/05,3
05eb60f6dced902508edb4d8e50f1e16,10 BRACKETT ST MILTON MA,10 BRACKETT ST,MILTON,,11/8/00,3
46b0fa51a48f2e2de592411206ec147d,10 BRAMAN ST DANVERS MA,10 BRAMAN ST,DANVERS,,8/1/16,Not Discovered Yet
02ed8e016b38ca4101cf5060c2cece93,10 CENTRAL ST NAHANT MA,10 CENTRAL ST,NAHANT,,8/3/15,3
ab04d6bb4d0447766b7ecfb3fc38adb7,10 CHARLEMONT ST DORCHESTER MA,10 CHARLEMONT ST,DORCHESTER,,9/27/14,3
e8f1f2dbb96b455c7c56d78e0e7ac981,10 CHARLES ST STONEHAM MA,10 CHARLES ST,STONEHAM,,8/12/15,3
1cbeb9ca9e012c16d7c4cced9991bd52,10 CHEEVER AVE MARBLEHEAD MA,10 CHEEVER AVE,MARBLEHEAD,,5/3/13,3
9b3046cf389d03d8769a4b30664260e5,10 CLEVELAND AV SAUGUS MA,10 CLEVELAND AV,SAUGUS,,10/3/00,3
43f733af73cc12885ad97f3725ab0ea3,10 COLONIAL AV LYNN MA,10 COLONIAL AV,LYNN,,8/11/99,3
95725797f6425d094410e4d2f920c17f,10 CROCKETT AV DORCHESTER MA,10 CROCKETT AV,DORCHESTER,,1/16/02,3
ff75b5e489bb3182bca512b7b8eebc9f,10 CROSS ST BEVERLY MA,10 CROSS ST,BEVERLY,,6/14/11,3
4ca8e4084852276160cbc73c1f091ade,10 CULLEN AVE LEOMINSTER MA,10 CULLEN AVE,LEOMINSTER,,3/8/16,Not Discovered Yet
d26cb3a1cd50b650fbd89adfe838641a,10 CUTLER FARM RD LEXINGTON MA,10 CUTLER FARM RD,LEXINGTON,,4/18/15,3
8478f4b724153de123d80a97960f574a,10 DAVIS RD BELMONT MA,10 DAVIS RD,BELMONT,,1/28/16,Not Discovered Yet
febd2f584335ec008e1c175ffd756196,10 DUXBURY RD WELLESLEY MA,10 DUXBURY RD,WELLESLEY,,7/29/15,3
1114942a84f01c4eb620fb775dd4e381,10 DYSART ST QUINCY MA,10 DYSART ST,QUINCY,,4/21/09,3
b2eab95c25328beccf6214336f09e728,10 EDGE HILL RD MILTON MA,10 EDGE HILL RD,MILTON,,4/6/14,3
b065580be7e5e1a3f94cee424a49e55f,10 EDGEHILL RD PEABODY MA,10 EDGEHILL RD,PEABODY,,5/2/13,3
eedca8cce5ca082e8921f24567bcb727,10 EDGEMERE RD LYNNFIELD MA,10 EDGEMERE RD,LYNNFIELD,,9/11/11,3
f81a0950437be3566691e3180a7b3a84,10 ELLIOT ST WELLESLEY MA,10 ELLIOT ST,WELLESLEY,,7/25/14,3
74ff65343bf05d9a97509024a97f3916,10 FERNWOOD RD ACTON MA,10 FERNWOOD RD,ACTON,,7/12/12,3
6c437f0c0fcde78b59fd8f9ee7b34022,10 FLETCHER ST DANVERS MA,10 FLETCHER ST,DANVERS,,8/17/10,3
f677a9aa50bab091139425321a761948,10 FOSTER ST SOUTHBRIDGE MA,10 FOSTER ST,SOUTHBRIDGE,,9/18/09,3
cfb4169ec8b7f1872fc42240a8634d26,10 FRANK BENNETT HWY BEVERLY MA,10 FRANK BENNETT HWY,BEVERLY,,9/13/16,Not Discovered Yet
9fa92221460586da2b010e8597112d02,10 GALLOWS HILL RD SALEM MA,10 GALLOWS HILL RD,SALEM,,9/13/13,3
c8b436cd1378ce48226b04278b860ddb,10 GLEN CROSS RD WELLESLEY MA,10 GLEN CROSS RD,WELLESLEY,,2/10/98,3
d23164b88a547c81024ff22ded53a5ca,10 GLENRIDGE DR BEDFORD MA,10 GLENRIDGE DR,BEDFORD,,12/3/15,3
d6c4019093d7a53822d10ea5e4a6e1d2,10 HANCOCK ST ARLINGTON MA,10 HANCOCK ST,ARLINGTON,,11/10/10,3
bc048d60c01e611a8bf88f7f21d48e1d,10 HESSELTINE AVE MELROSE MA,10 HESSELTINE AVE,MELROSE,,9/10/13,3
e62aff2d09a111dcda6033c2c21657d8,10 HIGH ST MEDFORD MA,10 HIGH ST,MEDFORD,,9/18/14,3
0915246a551168c403d3f3fa1410d3d6,10 HIGHLAND AV LYNNFIELD MA,10 HIGHLAND AV,LYNNFIELD,,9/21/05,3
04f0f67acc21761964f0361b9e108e20,10 HIGHLAND PL WEYMOUTH MA,10 HIGHLAND PL,WEYMOUTH,,1/28/04,3
c39abf6117a611214099113f619028ac,10 HOWARD AVE LYNNFIELD MA,10 HOWARD AVE,LYNNFIELD,,8/4/14,3
4f1eebae72625735fa67325e2ac53dbf,10 INGRAHAM RD WELLESLEY MA,10 INGRAHAM RD,WELLESLEY,,7/22/15,3
c1f28c600299a3c1429d09dadd00de76,10 JAMES ST SOMERVILLE MA,10 JAMES ST,SOMERVILLE,,11/17/15,3
cd36b71475aaee7fa1ebe8d71746ee33,10 JAPONICA ST SALEM MA,10 JAPONICA ST,SALEM,,5/1/01,3
637587486d08ae12c279a799f76c7415,10 KENWOOD AVE SAUGUS MA,10 KENWOOD AVE,SAUGUS,,10/23/13,3
ee130a321000082ed5a549121faed09a,10 KINGSTON RD NEWTON MA,10 KINGSTON RD,NEWTON,,7/22/13,3
b82f654d9412df4be78ede79da20a1d4,10 LANARK RD ARLINGTON MA,10 LANARK RD,ARLINGTON,,10/12/15,3
337b54d750cf78ea8a152ea607455c04,10 LANGLEY RD NEWTON MA,10 LANGLEY RD,NEWTON,,12/7/06,3
a4cfc01db55b937ad1e2fd52cb50f605,10 LAURA ST LITTLETON MA,10 LAURA ST,LITTLETON,,10/14/13,Missed 2
117d8b806a0f9e5017f09524150b24b3,10 LAUREL ST SAUGUS MA,10 LAUREL ST,SAUGUS,,3/2/93,3
465c1e5d24c3964dcaf98ba0c147c5be,10 LIVERMORE RD WELLESLEY MA,10 LIVERMORE RD,WELLESLEY,,12/28/09,3
88b833e7763c4465ea66a9e140c4b9a5,10 LOCUST ST BURLINGTON MA,10 LOCUST ST,BURLINGTON,,6/23/15,3
31a5e215f8cb1bca0d57e158a54017bf,10 LONE PINE LN PEABODY MA,10 LONE PINE LN,PEABODY,,3/11/08,3
d5e9815f9dbed56e0e28984d0fbf34e6,10 LOUIS RD PEABODY MA,10 LOUIS RD,PEABODY,,4/10/07,3
51d93120ad103eb12e93f4e7dd229ed5,10 MILES STANDISH RD MARBLEHEAD MA,10 MILES STANDISH RD,MARBLEHEAD,,10/9/15,3
949d535acd2025332845f3650fef9a99,10 MILK ST BOSTON MA,10 MILK ST,BOSTON,,12/16/16,Not Discovered Yet
0e11c67b3245f861f8018b9230ed8a3c,10 MONTROSE ST ROXBURY MA,10 MONTROSE ST,ROXBURY,,6/24/03,3
dcf61e6d8c10cc3b4a11f551de79787b,10 MYRNA ST BURLINGTON MA,10 MYRNA ST,BURLINGTON,,1/26/16,Not Discovered Yet
13d5060a44bcfc643a239e6f56a7003f,10 N GROVE ST BOSTON MA,10 N GROVE ST,BOSTON,,9/27/16,Not Discovered Yet
4b7974572a6c69b3c82fcdb3537fe9e6,10 NAHANTON ST NEWTON MA,10 NAHANTON ST,NEWTON,,7/6/11,3
4e6db3bf5e399c93c39f30b49d118ab5,10 NORTH ST TOPSFIELD MA,10 NORTH ST,TOPSFIELD,,12/26/15,Missed 2
8d4a480d6cc50d6fb7024a58a1338631,10 OAK ST WEYMOUTH MA,10 OAK ST,WEYMOUTH,,11/2/00,3
79e12464a2dfaf17f6e7b2f8c33c9783,10 OAK TER NEWTON MA,10 OAK TER,NEWTON,,5/6/13,3
a6fc48045f7607a47d9e92ece15dd3af,10 OLD FARM RD WAYLAND MA,10 OLD FARM RD,WAYLAND,,8/2/16,Not Discovered Yet
0686cdeef6d4cea61274dbf80196a7b5,10 ORCHARD LN WAYLAND MA,10 ORCHARD LN,WAYLAND,,1/31/11,3
17212752ab8a35648cdd0f17ba7a452b,10 PARKER ST CLINTON MA,10 PARKER ST,CLINTON,,8/11/16,Not Discovered Yet
fdccfeac0c115de0d54958e05c6da1f1,10 PATRICIA RD DANVERS MA,10 PATRICIA RD,DANVERS,,7/5/11,3
d8b597d83c920ef64f046045da3611c0,10 PEQUOT RD PEABODY MA,10 PEQUOT RD,PEABODY,,3/4/96,3
9465cf63e223fe21b35c90d8b6903fba,10 PERKINS RD WINCHESTER MA,10 PERKINS RD,WINCHESTER,,11/20/06,3
f83bf133ef2059b5e7c725743fa51c11,10 PERLEY AVE PEABODY MA,10 PERLEY AVE,PEABODY,,7/30/15,3
f83bf133ef2059b5e7c725743fa51c11,10 PERLEY AVE PEABODY MA,10 PERLEY AVE,PEABODY,,7/30/15,3
c49cacc2d730f3909ecd28dfe5f9f8a3,10 PETER TUFTS RD ARLINGTON MA,10 PETER TUFTS RD,ARLINGTON,,8/19/11,3
dc20500c8eeac2c7e5cfb7457a8d5834,10 PHILIP ST BELMONT MA,10 PHILIP ST,BELMONT,,6/2/10,3
cb6fca50eb86d8292794c5af3b9df25d,10 PIGEON HILL RD WESTON MA,10 PIGEON HILL RD,WESTON,,9/15/15,3
e5f1a6bd93abc5b8dfb6c30f7c78b828,10 PLAIN ST BRAINTREE MA,10 PLAIN ST,BRAINTREE,,12/1/12,3
e5f1a6bd93abc5b8dfb6c30f7c78b828,10 PLAIN ST BRAINTREE MA,10 PLAIN ST,BRAINTREE,,12/1/12,3
67756a5b9828a741d61049ea4cdf1f01,10 PLEASANT ST NORWOOD MA,10 PLEASANT ST,NORWOOD,,6/8/11,3
d25793c95d674f7c4f342239995fb816,10 POND ST WHITMAN MA,10 POND ST,WHITMAN,,1/26/10,3
a808d7c102b6a386fa5d8098f135a3c1,10 POND ST WHITMAN MA,10 POND ST,WHITMAN,,3/26/15,3
6c301b8e192b9a95010564cb559bf63a,10 POSSUM RD WESTON MA,10 POSSUM RD,WESTON,,1/22/15,3
6984554b34061f65050a2d1735e66199,10 QUARRY LN MILTON MA,10 QUARRY LN,MILTON,,5/10/14,3
848bff18ddd49faa5e3abd4ebbdf7da9,10 RADCLIFFE RD WESTON MA,10 RADCLIFFE RD,WESTON,,8/8/11,3
832286893bcdf971e5e2d412603292b9,10 RICE RD SUDBURY MA,10 RICE RD,SUDBURY,,6/26/01,3
f26418aa3fa7576c7c2567426fbb0e0e,10 RICH VALLEY RD WAYLAND MA,10 RICH VALLEY RD,WAYLAND,,3/4/14,3
fa25eba4ad31d681e5e4666b47d7e31d,10 RICHARD RD BURLINGTON MA,10 RICHARD RD,BURLINGTON,,10/24/14,3
48b5ecfa4c7f067ca45866cbf3ea5397,10 ROSEWAY ST JAMAICA PLAIN MA,10 ROSEWAY ST,JAMAICA PLAIN,,6/30/11,3
c3fb78ab93abc63c6a8c478dcbed7dda,10 SALISBURY ST WINCHESTER MA,10 SALISBURY ST,WINCHESTER,,8/9/16,Not Discovered Yet
647d0aaacb8564d170032222965a8139,10 SEWARD AVE BEVERLY MA,10 SEWARD AVE,BEVERLY,,6/17/16,Not Discovered Yet
